4opnum,question,option1,option2,option3,option4,correct option,num
1.0,"What will be the output of the following code?
def func(a, b=[]):
    b.append(a)
    return b

print(func(1))
print(func(2, []))
print(func(3))","[1] [2] [1, 3]",[1] [2] [3],"[1] [2] [1, 3]","[1] [2] [1, 2, 3]","[1] [2] [1, 3]",
2.0,"What will be the output of the following code?
def foo(x, y):
    x += y
    return x

a = (1, 2)
b = (3, 4)
print(foo(a, b))","(1, 2, 3, 4)","(4, 6)","(1, 2, 3)",Error,"(1, 2, 3, 4)",
3.0,"What will be the output of the following code?
def foo(x):
    return [i**2 for i in x]

print(foo(range(5)))","[0, 1, 4, 9, 16]","[1, 4, 9, 16, 25]","[0, 1, 2, 3, 4]","[1, 2, 3, 4, 5]","[0, 1, 4, 9, 16]",
4.0,"What will be the output of the following code?
def foo(x):
    return x[::-1]

print(foo([1, 2, 3, 4]))","[1, 2, 3, 4]","[4, 3, 2, 1]","[1, 3, 2, 4]","[4, 2, 3, 1]","[4, 3, 2, 1]",
5.0,"What will be the output of the following code?
def foo(x):
    return x * 2

print(list(map(foo, [1, 2, 3, 4])))","[1, 2, 3, 4]","[2, 4, 6, 8]","[1, 4, 9, 16]","[2, 3, 4, 5]","[2, 4, 6, 8]",
6.0,"What will be the output of the following code?
x = {'a': 1, 'b': 2, 'c': 3}
print(x.get('d', 4))",1,2,3,4,4,
7.0,"What will be the output of the following code?
x = [1, 2, 3, 4]
y = [i for i in x if i > 2]
print(y)","[1, 2, 3, 4]","[3, 4]","[1, 2]","[4, 3]","[3, 4]",
8.0,"What will be the output of the following code?
def foo(x):
    return x[::-1]

print(foo('Hello'))",Hello,olleH,oellH,Error,olleH,
9.0,"What will be the output of the following code?
x = [1, 2, 3, 4]
y = [i*2 for i in x]
print(y)","[1, 2, 3, 4]","[2, 4, 6, 8]","[1, 4, 9, 16]","[2, 3, 4, 5]","[2, 4, 6, 8]",
10.0,"What will be the output of the following code?
def foo(x):
    return x + 1

print(foo(2))
print(foo(foo(2)))",2 3,3 4,3 5,4 5,3 4,
11.0,"What will be the output of the following code?
def foo(x):
    return x * 2

print(foo([1, 2, 3]))","[1, 2, 3, 1, 2, 3]","[2, 4, 6]","[1, 2, 3, 2, 4, 6]","[1, 2, 3, 1, 2]","[1, 2, 3, 1, 2, 3]",
12.0,"What will be the output of the following code?
def foo(x):
    return x ** 2

print(foo(2))
print(foo(foo(2)))",2 4,4 16,4 8,8 16,4 16,
13.0,"What will be the output of the following code?
def foo(x):
    return x + 1

print(foo(2))
print(foo(foo(2)))",2 3,3 4,3 5,4 5,3 4,
14.0,"What will be the output of the following code?
def foo(x):
    return x[::-1]

print(foo([1, 2, 3, 4]))","[1, 2, 3, 4]","[4, 3, 2, 1]","[1, 3, 2, 4]","[4, 2, 3, 1]","[4, 3, 2, 1]",
15.0,"What will be the output of the following code?
def foo(x):
    return x * 2

print(list(map(foo, [1, 2, 3, 4])))","[1, 2, 3, 4]","[2, 4, 6, 8]","[1, 4, 9, 16]","[2, 3, 4, 5]","[2, 4, 6, 8]",
16.0,"What will be the output of the following code?
x = {'a': 1, 'b': 2, 'c': 3}
print(x.get('d', 4))",1,2,3,4,4,
17.0,"What will be the output of the following code?
x = [1, 2, 3, 4]
y = [i for i in x if i > 2]
print(y)","[1, 2, 3, 4]","[3, 4]","[1, 2]","[4, 3]","[3, 4]",
18.0,"What will be the output of the following code?
def foo(x):
    return x[::-1]

print(foo('Hello'))",Hello,olleH,oellH,Error,olleH,
19.0,"What will be the output of the following code?
x = [1, 2, 3, 4]
y = [i*2 for i in x]
print(y)","[1, 2, 3, 4]","[2, 4, 6, 8]","[1, 4, 9, 16]","[2, 3, 4, 5]","[2, 4, 6, 8]",
20.0,"What will be the output of the following code?
def foo(x):
    return x + 1

print(foo(2))
print(foo(foo(2)))",2 3,3 4,3 5,4 5,3 4,
,test,test,test,test,test,option1,21
